Oberkategorie,Unterkategorie,CF,MF
Haushaltsgeräte,Fächer,"0,2","0,74"
Haushaltsgeräte,Föhn,"5,14","33,23"
Haushaltsgeräte,Garderobenständer,"15,74","183,43"
Haushaltsgeräte,Garten,,
Haushaltsgeräte,Gartenschere,"2,62","30,57"
Haushaltsgeräte,Gaskocher,"6,07","28,58"
Haushaltsgeräte,Geschirr,"2,07","14,86"
Haushaltsgeräte,Gewürzmühle,"0,57","0,83"
Haushaltsgeräte,Gießkanne,"0,95","1,38"
Haushaltsgeräte,Glaskugel elektrisch,"14,99","283,06"
Haushaltsgeräte,Greifzange,"2,62","30,57"
Haushaltsgeräte,Grill,"30,33","142,88"
Haushaltsgeräte,Gymnastikball,"0,95","1,38"
Haushaltsgeräte,Haarschneidemaschine,"1,47","9,5"
Haushaltsgeräte,Haartrockner,"5,14","33,23"
Haushaltsgeräte,Handbesen,"0,4","1,49"
Haushaltsgeräte,Handnähmaschine,"1,41","9,41"
Haushaltsgeräte,Handrührgerät,5,"16,8"
Haushaltsgeräte,Handstaubsauger,"10,62","51,33"
Haushaltsgeräte,Harke,"2,62","30,57"
Haushaltsgeräte,Haushaltsgerät,"14,1","94,07"
Haushaltsgeräte,Haushaltsschere,"1,05","12,23"
Haushaltsgeräte,Hebelschere,"15,74","183,43"
Haushaltsgeräte,Heißluftfritteuse,"12,13","57,15"
Haushaltsgeräte,Hemdenbügler,"22,03","142,43"
Haushaltsgeräte,Herdplatte,"6,07","28,58"
Haushaltsgeräte,Hochdruckreiniger,"49,57","239,55"
Haushaltsgeräte,Hutweiter,"1,57","18,34"
Haushaltsgeräte,Händetrockner,"43,56","503,22"
Haushaltsgeräte,Hörnchenautomat,"4,12","23,19"
Haushaltsgeräte,Induktionsgerät,"4,55","21,43"
Haushaltsgeräte,Induktionsplatte,"6,07","28,58"
Haushaltsgeräte,Infrarotheizung,"28,84","162,32"
Haushaltsgeräte,Inhalator,"0,95","1,38"
Haushaltsgeräte,Joghurtbereiter,"4,7","31,36"
Haushaltsgeräte,Kaffeefilter,,
Haushaltsgeräte,Kaffeekanne,"0,95","1,38"
Haushaltsgeräte,Kaffeemühle,"3,76","25,09"
Haushaltsgeräte,Kartenmischgerät,"10,06","191,49"
Haushaltsgeräte,Katzenfutterautomat,"50,3","957,44"
Haushaltsgeräte,Kerzenhalter,"1,05","12,23"
Haushaltsgeräte,Kettensäge,"25,02","83,98"
Haushaltsgeräte,Kinderwagen,"85,53","247,83"
Haushaltsgeräte,Kleiderbügel,"0,1","0,37"
Haushaltsgeräte,Klobürste,"0,38","0,55"
Haushaltsgeräte,Kochplatte,"6,07","28,58"
Haushaltsgeräte,Kochthermometer,"5,03","95,74"
Haushaltsgeräte,Korb geflochten,"1,01","3,71"
Haushaltsgeräte,Kosmetikgerät,"1,47","9,5"
Haushaltsgeräte,Kugelschreiber,"0,1","0,14"
Haushaltsgeräte,Kurzzeitwecker (Eieruhr),"5,03","95,74"
Haushaltsgeräte,Küchenwaage,"50,3","957,44"
Haushaltsgeräte,Kühlschrank,"238,89","1069,09"
Haushaltsgeräte,Kühltruhe,"143,33","641,45"
Haushaltsgeräte,Laminiergerät,"100,6","1914,88"
Haushaltsgeräte,Leuchter,"49,96","943,52"
Haushaltsgeräte,Locher,"1,57","18,34"
Haushaltsgeräte,Locher,"1,57","18,34"
Haushaltsgeräte,Luftbefeuchter,"5,22","30,35"
Haushaltsgeräte,Luftentfeuchter,"5,22","30,35"
Haushaltsgeräte,Lupe,"0,1","0,22"
Haushaltsgeräte,Mehlsieb,"1,05","12,23"
Haushaltsgeräte,Messer,"1,57","18,34"
Haushaltsgeräte,Messerschärfer,"2,62","30,57"
Haushaltsgeräte,Milchaufschäumer,"1,25","4,2"
Haushaltsgeräte,Minibackofen,"27,42","246,39"
Haushaltsgeräte,Multizerkleinerer,"6,78","33,33"
Haushaltsgeräte,Munddusche,"3,67","23,74"
Haushaltsgeräte,Musikinstrument,,
Haushaltsgeräte,Mühle,"4,7","31,36"
Haushaltsgeräte,Mülleimer,"10,5","122,28"
Haushaltsgeräte,Nachtlicht,"9,99","188,7"
Haushaltsgeräte,Nagelfräser,"1,47","9,5"
Haushaltsgeräte,Nass-Sauger,"35,41","171,11"
Haushaltsgeräte,Nivelliergerät,"100,6","1914,88"
Haushaltsgeräte,Nudelmaschine,"11,75","78,4"
Haushaltsgeräte,Ofen,"90,99","428,64"
Haushaltsgeräte,Ordner,"0,81","3,62"
Haushaltsgeräte,Pad-/Kapsel-Kaffeemaschine,"11,75","78,4"
Haushaltsgeräte,Pediküre-Set,"3,67","23,74"
Haushaltsgeräte,Pfeffermühle,"0,38","0,55"
Haushaltsgeräte,Pillenbox,"0,1","0,14"
Haushaltsgeräte,Pizzastein,"0,62","4,46"
Haushaltsgeräte,Popcornmaschine,"9,4","62,72"
Haushaltsgeräte,Postkartenautomat,"12,7","58,62"
Haushaltsgeräte,Prägemaschine,"6,35","29,31"
Haushaltsgeräte,Putzeimer mit Wringerfunktion,"2,85","4,15"
Haushaltsgeräte,Reibe,"1,57","18,34"
Haushaltsgeräte,"Reibe, elektrisch","4,7","31,36"
Haushaltsgeräte,Reinigungszubehör,,
Haushaltsgeräte,Reiskocher,"14,1","94,07"
Haushaltsgeräte,Rollator,"68,42","198,26"
Haushaltsgeräte,Sackkarre,"102,64","297,4"
Haushaltsgeräte,Safe,"262,39","3057,12"
Haushaltsgeräte,Saftpresse,"4,76","6,91"
Haushaltsgeräte,Salatschleuder,"1,43","2,07"
Haushaltsgeräte,Salzstreuer,"0,38","0,55"
Haushaltsgeräte,Sandwichtoaster,"6,18","34,78"
Haushaltsgeräte,Schleuder,"5,71","8,29"
Haushaltsgeräte,Schnapprollo,"10,31","28,13"
Haushaltsgeräte,Schrankuhr,"4,03","14,86"
Haushaltsgeräte,Schraubstock,"26,24","305,71"
Haushaltsgeräte,Schredder,"23,74","116,64"
Haushaltsgeräte,Schreibmaschine,"6,35","29,31"
Haushaltsgeräte,Seifenspender,"0,57","0,83"
Haushaltsgeräte,Siebträgermaschine,"23,5","156,79"
Haushaltsgeräte,Silikonpresse,"2,62","30,57"
Haushaltsgeräte,Sodastream,"3,8","5,53"
Haushaltsgeräte,Sparschwein,"0,21","1,49"
Haushaltsgeräte,Spiegel,"2,02","4,41"
Haushaltsgeräte,Spieluhr,"25,15","478,72"
Haushaltsgeräte,Spielzeug,"0,95","1,38"
Haushaltsgeräte,Sprühflasche,"0,38","0,55"
Haushaltsgeräte,Spülmaschine,"142,65","1403,46"
Haushaltsgeräte,Staubsaugerroboter,"24,79","119,77"
Haushaltsgeräte,Stehlampe,"99,93","1887,05"
Haushaltsgeräte,Stemmhammer,"41,98","489,14"
Haushaltsgeräte,Stickmaschine,"28,2","188,15"
Haushaltsgeräte,Stopfmaschine,"7,05","47,04"
Haushaltsgeräte,Strauchschere,"15,74","183,43"
Haushaltsgeräte,Strickmaschine,"46,99","313,58"
Haushaltsgeräte,Stuhl,"10,08","37,14"
Haushaltsgeräte,Stöpsel,"1,32","24,32"
Haushaltsgeräte,Tacker,"1,05","12,23"
Haushaltsgeräte,Tasse,"0,12","0,89"
Haushaltsgeräte,Teekanne,"0,41","2,97"
Haushaltsgeräte,Teekocher,"3,3","18,55"
Haushaltsgeräte,Teesieb,"0,26","3,06"
Haushaltsgeräte,Teigrolle,"1,01","3,71"
Haushaltsgeräte,Teppichauffrischer,"1,9","2,76"
Haushaltsgeräte,Teppichbürste,"1,52","2,21"
Haushaltsgeräte,Thermomix,"32,96","185,51"
Haushaltsgeräte,Thermoskanne,"3,67","42,8"
Haushaltsgeräte,Tischgrill,"7,58","35,72"
Haushaltsgeräte,Tischschleuder,,
Haushaltsgeräte,Topf,"7,87","91,71"
Haushaltsgeräte,Tortenring,"1,05","12,23"
Haushaltsgeräte,Transportwagen,"128,29","371,75"
Haushaltsgeräte,Trinkflasche,"0,57","0,83"
Haushaltsgeräte,Trolley,"25,66","74,35"
Haushaltsgeräte,Töpferscheibe,"49,46","609,77"
Haushaltsgeräte,Uhr,"0,2","0,44"
Haushaltsgeräte,Ultraschallreiniger,"14,16","68,44"
Haushaltsgeräte,Untersetzer,"0,2","0,74"
Haushaltsgeräte,Vakuumierer,"17,7","85,55"
Haushaltsgeräte,Ventilator,"43,56","503,22"
Haushaltsgeräte,Verdampfer,"75,45","1436,16"
Haushaltsgeräte,"Waage, elektrisch","100,6","1914,88"
Haushaltsgeräte,"Wagenheber, hydraulisch","41,98","489,14"
Haushaltsgeräte,Wanderstöcke,"2,62","30,57"
Haushaltsgeräte,Warmhalteplatte,"3,03","14,29"
Haushaltsgeräte,Waschmaschine,"351,14","1763,76"
Haushaltsgeräte,Wasserhahn,"5,25","61,14"
Haushaltsgeräte,Wasserionisierer,"11,08","170,12"
Haushaltsgeräte,Wasserpumpe,"36,93","567,06"
Haushaltsgeräte,Wassersprudler,"4,76","6,91"
Haushaltsgeräte,Weihnachtspyramide,"2,02","7,43"
Haushaltsgeräte,Werkzeug,"10,5","122,28"
Haushaltsgeräte,Wischmopp,"2,76","9,05"
Haushaltsgeräte,Wischroboter,"28,33","136,89"
Haushaltsgeräte,Wärmeschublade,"30,33","142,88"
Haushaltsgeräte,Wärmflasche,"0,95","1,38"
Haushaltsgeräte,Wäschemangel,"75,24","377,95"
Haushaltsgeräte,Wäscheständer,"15,74","183,43"
Haushaltsgeräte,Wäschetrockner,"164,88","2032,57"
Haushaltsgeräte,Zahnbürste / Munddusche,"1,47","9,5"
Haushaltsgeräte,Zapfanlage,"23,5","156,79"
Haushaltsgeräte,Zeitschaltuhr,"10,06","191,49"
Haushaltsgeräte,Zimmerbrunnen,"1,24","8,92"
Haushaltsgeräte,Glätteisen,"3,67","23,74"
Haushaltsgeräte,Brotschneidemaschine,"25,02","83,98"
Haushaltsgeräte,Handmixer,5,"16,8"
Haushaltsgeräte,Küchenmaschine,"32,89","219,51"
Haushaltsgeräte,Stabmixer / Pürierstab,"4,38","14,7"
Haushaltsgeräte,Standmixer,"18,76","62,98"
Haushaltsgeräte,Waffeleisen,"8,24","46,38"
Haushaltsgeräte,Wasserkocher,"4,12","23,19"
Haushaltsgeräte,Staubsauger,"35,41","171,11"
Haushaltsgeräte,Eierkocher,"2,06","11,59"
Haushaltsgeräte,Toaster,"6,18","34,78"
Haushaltsgeräte,Kaffeemaschine,"14,1","94,07"
Haushaltsgeräte,Kaffeevollautomat,"46,99","313,58"
Haushaltsgeräte,Mikrowelle,"65,8","591,33"
Haushaltsgeräte,Bügeleisen,"8,81","56,97"
Haushaltsgroßgeräte,Dunstabzugshaube,"41,98","489,14"
Haushaltsgroßgeräte,Fitnessgerät,"427,65","1239,15"
Haushaltsgroßgeräte,Gaskochfeld,"24,26","114,3"
Haushaltsgroßgeräte,Glaskochfeld,"30,33","142,88"
Haushaltsgroßgeräte,Klimagerät,"172,29","2722,04"
Haushaltsgroßgeräte,Kochfeld,"30,33","142,88"
Haushaltsgroßgeräte,Geschirrspüler,"142,65","1403,46"
Haushaltsgroßgeräte,Trockner,"164,88","2032,57"
Haushaltsgroßgeräte,Waschtrockner,"164,88","2032,57"
Haushaltsgroßgeräte,Kühlgerät,"238,89","1069,09"
Haushaltsgroßgeräte,Waschmaschine,"351,14","1763,76"
Haushaltsgroßgeräte,Gefriergerät,"238,89","1069,09"
Haushaltsgroßgeräte,Kühl-Gefriergerät,"334,45","1496,72"
Haushaltsgroßgeräte,Backofen,"164,49","1478,32"
Haushaltsgroßgeräte,Gasherd,"121,32","571,52"
Haushaltsgroßgeräte,Herd,"106,16","500,08"
Leder,Bekleidung / Kleidungsstück,"5,16","14,06"
Leder,Geldbörse,"1,03","2,81"
Leder,Gürtel,"2,06","5,63"
Leder,Tasche / Koffer,"15,47","42,19"
Metallbearbeitung,Felgen,"52,48","611,42"
Metallbearbeitung,Gewindestange,"5,25","61,14"
Metallbearbeitung,Halterung,"2,62","30,57"
Metallbearbeitung,Haushaltsgerät,,
Metallbearbeitung,Kerzenlöscher,"1,57","18,34"
Metallbearbeitung,Kette,"1,05","12,23"
Metallbearbeitung,Messer und Scheren schärfen/schleifen,"1,57","18,34"
Metallbearbeitung,Metalldose,"2,62","30,57"
Metallbearbeitung,Metallplatte,"10,5","122,28"
Metallbearbeitung,Metallstab,"5,25","61,14"
Metallbearbeitung,Münzen,"0,52","6,11"
Metallbearbeitung,Schraubendreher,"1,05","12,23"
Metallbearbeitung,Schutzblech,"1,57","18,34"
Metallbearbeitung,Staubsauger,"35,41","171,11"
Metallbearbeitung,Topf,"7,87","91,71"
Metallbearbeitung,Türschloss,"2,62","30,57"
Metallbearbeitung,Zwinge,"5,25","61,14"
Möbel/Holz,Bierbank,"20,16","74,28"
Möbel/Holz,Bilderrahmen,"2,02","7,43"
Möbel/Holz,Blumentopf,"0,21","1,49"
Möbel/Holz,Blumentopfständer,"0,62","4,46"
Möbel/Holz,Boot,,
Möbel/Holz,Campinghocker,"2,76","9,05"
Möbel/Holz,Campingtisch,"5,71","8,29"
Möbel/Holz,Dekoration,,
Möbel/Holz,Gitarre,"5,04","18,57"
Möbel/Holz,Hobelmaschine,"125,08","419,89"
Möbel/Holz,Holzbrett,"2,02","7,43"
Möbel/Holz,Holzfigur,"1,01","3,71"
Möbel/Holz,Holzschale,"1,01","3,71"
Möbel/Holz,Holzstuhl,"10,08","37,14"
Möbel/Holz,Holzuntersetzer,"0,6","2,23"
Möbel/Holz,Jalousien,"3,8","5,53"
Möbel/Holz,Kinderstuhl,"6,05","22,29"
Möbel/Holz,Kiste,"4,03","14,86"
Möbel/Holz,Kiste / Kasten,"4,03","14,86"
Möbel/Holz,Kuckucksuhr,"75,45","1436,16"
Möbel/Holz,Küchengerät,"14,1","94,07"
Möbel/Holz,Liegestuhl,"13,81","45,23"
Möbel/Holz,Luftbett/Luftmatratze,"3,8","5,53"
Möbel/Holz,Massagesessel,"69,06","226,16"
Möbel/Holz,Metallsessel,"52,48","611,42"
Möbel/Holz,Möbelstück,"40,32","148,57"
Möbel/Holz,Puppenstube,"10,08","37,14"
Möbel/Holz,Puppenwagen,"25,66","74,35"
Möbel/Holz,Regal,"30,24","111,43"
Möbel/Holz,Schublade,"4,03","14,86"
Möbel/Holz,Servierwagen,"10,08","37,14"
Möbel/Holz,Skateboard,"5,04","18,57"
Möbel/Holz,Sonnenschirm,"8,29","27,14"
Möbel/Holz,Spielzeug,"0,95","1,38"
Möbel/Holz,Standuhr/Regulator,"15,22","22,12"
Möbel/Holz,Tisch,"40,32","148,57"
Möbel/Holz,Vogelhäuschen,"2,02","7,43"
Möbel/Holz,Wanduhr,"2,02","7,43"
Schmuck,Brille,"0,05","0,11"
Schmuck,Brosche,"0,05","0,61"
Schmuck,Haarreifen,"0,1","1,22"
Schmuck,Halskette,"0,26","3,06"
Schmuck,Ohrring,"0,05","0,61"
Smartphone/Tablet,Display,"12,71","115,81"
Smartphone/Tablet,Headset,"7,55","143,62"
Smartphone/Tablet,Mobiltelefon,"47,56","185,04"
Smartphone/Tablet,Powerbank,"0,69","6,19"
Smartphone/Tablet,Schutzhülle,"0,1","0,14"
Smartphone/Tablet,Stativ,"2,62","30,57"
Smartphone/Tablet,E-Book-Reader,"47,56","185,04"
Smartphone/Tablet,Handy,"47,56","185,04"
Smartphone/Tablet,Navigationsgerät,"71,34","277,57"
Smartphone/Tablet,Smartphone,"47,56","185,04"
Smartphone/Tablet,Tablet,"71,34","277,57"
Textilien,Bettwäsche,"10,31","28,13"
Textilien,Beutel,"1,03","2,81"
Textilien,Fahrradtasche,"5,16","14,06"
Textilien,Gardinen,"10,31","28,13"
Textilien,Halstuch,"0,52","1,41"
Textilien,Handtuch,"2,06","5,63"
Textilien,Hemd,"2,06","5,63"
Textilien,Hose,"3,09","8,44"
Textilien,Hundeleine,"1,03","2,81"
Textilien,Jacke,"5,16","14,06"
Textilien,Kinderbody,"1,03","2,81"
Textilien,Kleidungsstück,"5,16","14,06"
Textilien,Pullover,"3,09","8,44"
Textilien,Puppe,"0,57","0,83"
Textilien,Regenschirm,"0,83","2,71"
Textilien,Reißverschluss,"0,26","3,06"
Textilien,Rucksack,"5,16","14,06"
Textilien,Schirm,"3,09","8,44"
Textilien,Schuhe,"10,31","28,13"
Textilien,Spannbetttuch,"5,16","14,06"
Textilien,T-Shirt,"2,06","5,63"
Textilien,Tarp / Zeltplane,"10,31","28,13"
Textilien,Tasche / Koffer,"15,47","42,19"
Textilien,Unterwäsche,"1,03","2,81"
Textilien,Vorhang,"10,31","28,13"
Textilien,Wohntextilie,"10,31","28,13"
Unterhaltungselektronik,5-Fach CD Wechsler,"44,94","703,7"
Unterhaltungselektronik,Action Figur,"0,38","0,55"
Unterhaltungselektronik,Aktivlautsprecher,"100,6","1914,88"
Unterhaltungselektronik,Audiorecorder,"50,3","957,44"
Unterhaltungselektronik,Aufnahmegerät,"25,15","478,72"
Unterhaltungselektronik,CD-Radio,"44,94","703,7"
Unterhaltungselektronik,Controller,"15,09","287,23"
Unterhaltungselektronik,DAB-Radio,"75,45","1436,16"
Unterhaltungselektronik,DVD Micro-Audio System,"67,41","1055,55"
Unterhaltungselektronik,DVD-Recorder,"44,94","703,7"
Unterhaltungselektronik,Diabetrachter,"25,15","478,72"
Unterhaltungselektronik,Diaprojektor,"100,6","1914,88"
Unterhaltungselektronik,Discman,"6,74","105,55"
Unterhaltungselektronik,ELA-Anlage,"251,51","4787,21"
Unterhaltungselektronik,Equalizer,"100,6","1914,88"
Unterhaltungselektronik,Fernbedienung,"5,03","95,74"
Unterhaltungselektronik,Ferngesteuertes Auto,"50,3","957,44"
Unterhaltungselektronik,Festplattenrekorder,"79,76","864,99"
Unterhaltungselektronik,Filmprojektor,"251,51","4787,21"
Unterhaltungselektronik,Funkkopfhörer,"25,15","478,72"
Unterhaltungselektronik,Grammophon,"6,35","29,31"
Unterhaltungselektronik,Heimkinosystem,,
Unterhaltungselektronik,Internet-Radio,"75,45","1436,16"
Unterhaltungselektronik,Jukebox,"40,32","148,57"
Unterhaltungselektronik,Karaoke-Anlage/CD-Spieler,"67,41","1055,55"
Unterhaltungselektronik,Kasetten Tape Deck,"44,94","703,7"
Unterhaltungselektronik,Kassette,"2,25","35,18"
Unterhaltungselektronik,Kassetten-Radio,"22,47","351,85"
Unterhaltungselektronik,Kassettenrekorder,"33,71","527,77"
Unterhaltungselektronik,Keyboard,"251,51","4787,21"
Unterhaltungselektronik,Kinderklavier,"150,9","2872,32"
Unterhaltungselektronik,Kopfhörer,"10,71","205,36"
Unterhaltungselektronik,Lautsprecher(boxen),"251,51","4787,21"
Unterhaltungselektronik,Leiterplatte,"106,95","2115,59"
Unterhaltungselektronik,Lichtorgel,"50,3","957,44"
Unterhaltungselektronik,Mikrofon,"15,09","287,23"
Unterhaltungselektronik,MiniDisc-Player,"11,24","175,92"
Unterhaltungselektronik,Minifernseher mit Radio,"12,49","300,94"
Unterhaltungselektronik,Mischpult,"100,6","1914,88"
Unterhaltungselektronik,Mp3-Player,"23,78","92,52"
Unterhaltungselektronik,Multimedia-Center,"251,51","4787,21"
Unterhaltungselektronik,Multirekorder,"150,9","2872,32"
Unterhaltungselektronik,Music System,"251,51","4787,21"
Unterhaltungselektronik,Plattenspieler,"6,35","29,31"
Unterhaltungselektronik,Playstation/Spielekonsole,"59,22","793,82"
Unterhaltungselektronik,Projektor,"100,6","1914,88"
Unterhaltungselektronik,Quadrocopter,"75,45","1436,16"
Unterhaltungselektronik,Radio,"50,3","957,44"
Unterhaltungselektronik,Radiorecorder,"100,6","1914,88"
Unterhaltungselektronik,Radiowecker,"25,15","478,72"
Unterhaltungselektronik,Roboter,"150,9","2872,32"
Unterhaltungselektronik,Röhren-Radio,"201,2","3829,77"
Unterhaltungselektronik,Soundbar,"100,6","1914,88"
Unterhaltungselektronik,Soundschaltung,"50,3","957,44"
Unterhaltungselektronik,Spulentonbandgerät,"251,51","4787,21"
Unterhaltungselektronik,Stereoanlage,"402,41","7659,53"
Unterhaltungselektronik,Surround Anlage,"503,01","9574,42"
Unterhaltungselektronik,Synthesizer,"150,9","2872,32"
Unterhaltungselektronik,TV Simulator,"12,49","300,94"
Unterhaltungselektronik,Time Base Corrector,"100,6","1914,88"
Unterhaltungselektronik,Walkman,"47,56","185,04"
Unterhaltungselektronik,iPod,"23,78","92,52"
Unterhaltungselektronik,Fernseher,"124,85","3009,41"
Unterhaltungselektronik,Autoradio,"50,3","957,44"
Unterhaltungselektronik,CD-Player,"33,71","527,77"
Unterhaltungselektronik,DVD-Player,"33,71","527,77"
Unterhaltungselektronik,HiFi-Musik-Anlage,"251,51","4787,21"
Unterhaltungselektronik,Receiver,"100,6","1914,88"
Unterhaltungselektronik,Videorekorder,"150,9","2872,32"
Unterhaltungselektronik,Spielkonsole,"59,22","793,82"
Upcycling/Basteln,Fliegengitter,"2,62","30,57"
Upcycling/Basteln,Flyerhalter,"1,57","18,34"
Upcycling/Basteln,Halterung,"0,4","1,49"
Upcycling/Basteln,Hochbeet,"20,16","74,28"
Upcycling/Basteln,Insektenhotel,"4,03","14,86"
Upcycling/Basteln,Modellauto,"0,95","1,38"
Upcycling/Basteln,Outdoor,,
Upcycling/Basteln,Porzellanfigur,"0,12","0,89"
Upcycling/Basteln,Schaukasten mit Motor,"22,16","284,41"
Upcycling/Basteln,Schild,"5,25","61,14"
Upcycling/Basteln,Skateboardachse,"2,62","30,57"
Upcycling/Basteln,Spielzeuglok,"1,9","2,76"
Upcycling/Basteln,Trinkglas,"0,3","0,66"
